dialogue_line,anger,disgust,fear,joy,neutral,sadness,surprise
There's nothing to tell! He's just some guy I work with!,0.20678891241550446,0.008325206115841866,0.00472302595153451,0.5184122920036316,0.21237380802631378,0.00106188899371773,0.04831480607390404
"C'mon, you're going out with the guy! There's gotta be something wrong with him!",0.0786883682012558,0.7736677527427673,0.05729619041085243,0.004084640182554722,0.011983593925833702,0.011861298233270645,0.06241820380091667
"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?",0.0017932797782123089,0.00944264605641365,0.0016896376619115472,0.002240989590063691,0.979468822479248,0.001359223504550755,0.0040054009296
"Wait, does he eat chalk?",0.0027891104109585285,0.003529829904437065,0.0038843387737870216,0.000873408920597285,0.7301496267318726,0.0007517277263104916,0.25802189111709595
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",0.09025166183710098,0.04906291514635086,0.6794306635856628,0.005216984543949366,0.06108803302049637,0.0915447324514389,0.023405011743307114
"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",0.013437917456030846,0.18265941739082336,0.0033870371989905834,0.02302664890885353,0.7684807777404785,0.0056310691870749,0.003377085318788886
Sounds like a date to me.,0.0009143425850197673,0.0008500628173351288,0.003557168412953615,0.016378819942474365,0.9187949299812317,0.0009170917328447104,0.05858750641345978
"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",0.002792318817228079,0.014828543178737164,0.040709059685468674,0.22802773118019104,0.5296528339385986,0.0019314379896968603,0.18205803632736206
"Oh, yeah. Had that dream.",0.001885245437733829,0.0004865309747401625,0.0022322810254991055,0.030427860096096992,0.9505714774131775,0.007734288461506367,0.0066622598096728325
"Then I look down, and I realize there's a phone... there.",0.0010044318623840809,0.0008212231332436204,0.004489420913159847,0.0027977118734270334,0.04866117238998413,0.0005915273795835674,0.941634476184845
Instead of...?,0.007691437844187021,0.001826115301810205,0.002877369523048401,0.0006543375784531236,0.021515434607863426,0.00066272949334234,0.9647725820541382
That's right.,0.0034509734250605106,0.00449660187587142,0.0002800158108584583,0.004279563669115305,0.9841626882553101,0.0022338617127388716,0.0010962418746203184
Never had that dream.,0.0026039083022624254,0.0006320000975392759,0.05413364619016647,0.058633413165807724,0.8229079246520996,0.028287358582019806,0.03280182555317879
No.,0.007578795310109854,0.017437148839235306,0.001239462406374514,0.0005282515776343644,0.9634655117988586,0.005667536053806543,0.0040832338854670525
"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",0.00957762822508812,0.011685684323310852,0.7599021792411804,0.010241040028631687,0.08079267293214798,0.02061404101550579,0.10718684643507004
And they weren't looking at you before?!,0.006097514182329178,0.00230086175724864,0.0012102288892492652,0.0011712766718119383,0.002043680753558874,0.00019639825040940195,0.9869800806045532
"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",0.05836275964975357,0.016014091670513153,0.06632574647665024,0.01625164970755577,0.17562417685985565,0.06547700613737106,0.6019445657730103
(mortified) Hi.,0.0008751233108341694,0.0006093500996939838,0.0023012582678347826,0.009253486059606075,0.9827597141265869,0.0010735987452790141,0.003127424279227853
"This guy says hello, I wanna kill myself.",0.008265252225100994,0.770209789276123,0.1759382039308548,0.0019311498617753386,0.006675151642411947,0.034854572266340256,0.0021258110646158457
"Are you okay, sweetie?",0.0026737244334071875,0.0006308509618975222,0.0040535517036914825,0.007199001964181662,0.977846086025238,0.006162652745842934,0.001434139208868146
